ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,36428.28496053408,42796.21503946577,0.1606,0.8394,-6367.930078931689,0.0,0.0,0.0,0.015,0.04
2,Mathabhanga (SC),20000,81700.07652594446,62962.313660970976,0.9491,0.0509,18737.762864973487,0.0,0.0,0.0,0.015,0.04
3,Cooch Behar Uttar (SC),20000,48278.92353119511,42385.43263318839,0.7925,0.2075,5893.490898006719,0.0,0.0,0.0,0.015,0.04
4,Cooch Behar Dakshin,20000,65755.88782556256,62160.25353569394,0.63755,0.36245,3595.634289868617,0.0,0.0,0.0,0.015,0.04
5,Sitalkuchi (SC),20000,16970.099902827063,12528.9000971729,0.9696,0.0304,4441.199805654162,0.0,0.0,0.0,0.015,0.04
6,Sitai (SC),20000,55248.98424686426,60446.841840092005,0.2926,0.7074,-5197.8575932277445,0.0,0.0,0.0,0.015,0.04
7,Dinhata,20000,67048.06532100489,67234.93467899511,0.4723,0.5277,-186.8693579902172,0.0,0.0,0.0,0.015,0.04
8,Natabari,20000,87520.43248437408,69182.3107588692,0.92995,0.07005,18338.121725504876,0.0,0.0,0.0,0.015,0.04
9,Tufanganj,20000,92046.95897198847,66901.21158875927,0.97675,0.02325,25145.747383229194,0.0,0.0,0.0,0.015,0.04
10,Kumargram (ST),20000,87985.82428121142,79409.86155949609,0.7359,0.2641,8575.96272171532,0.0,0.0,0.0,0.015,0.04
11,Kalchini (ST),20000,32213.97315056314,23335.21312394692,0.97805,0.02195,8878.760026616219,0.0,0.0,0.0,0.015,0.04
12,Alipurduars,20000,70056.0951492615,59526.38141323854,0.84345,0.15655,10529.71373602296,0.0,0.0,0.0,0.015,0.04
13,Falakata,20000,119043.44131221135,114228.55868778861,0.6036,0.3964,4814.882624422741,0.0,0.0,0.0,0.015,0.04
14,Madarihat,20000,59268.88500406098,39865.04603042192,0.9926,0.0074,19403.83897363906,0.0,0.0,0.0,0.015,0.04
15,Dhupguri (SC),20000,85981.97645088324,82475.4789946616,0.602,0.398,3506.497456221652,0.0,0.0,0.0,0.015,0.04
16,Maynaguri (SC),20000,91137.73391066279,81757.92075035376,0.75115,0.24885,9379.813160309028,0.0,0.0,0.0,0.015,0.04
17,Jalpaiguri (SC),20000,58785.51477671034,59249.297723289565,0.48125,0.51875,-463.78294657921793,0.0,0.0,0.0,0.015,0.04
18,Rajganj (SC),20000,38444.150134863725,45271.340061214396,0.1569,0.8431,-6827.189926350665,0.0,0.0,0.0,0.015,0.04
19,Dabgram-Phulbari,20000,49862.42015854961,39142.9250795455,0.93295,0.06705,10719.495079004115,0.0,0.0,0.0,0.015,0.04
20,Mal (ST),20000,50686.631558432426,49127.36844156755,0.61135,0.38865,1559.263116864872,0.0,0.0,0.0,0.015,0.04
21,Nagrakata (ST),20000,36006.981070138514,27095.928020770232,0.96015,0.03985,8911.05304936828,0.0,0.0,0.0,0.015,0.04
22,Kalimpong,20000,47195.44190102039,826.5721834837736,1.0,0.0,46368.869717536625,0.0,0.0,0.0,0.015,0.04
23,Darjeeling,20000,192236.25878369602,34905.74121630322,1.0,0.0,157330.5175673928,0.0,0.0,0.0,0.015,0.04
24,Kurseong,20000,186198.1568999814,3170.7571271749043,1.0,0.0,183027.3997728065,0.0,0.0,0.0,0.015,0.04
25,Matigara-Naxalbari (SC),20000,129108.54902176197,63719.4412062511,1.0,0.0,65389.10781551087,0.0,0.0,0.0,0.015,0.04
26,Siliguri,20000,15735.107381399217,9449.792618600848,0.9993,0.0007,6285.314762798369,0.0,0.0,0.0,0.015,0.04
27,Phansidewa (ST),20000,25709.099339512544,18924.900660487536,0.9715,0.0285,6784.198679025009,0.0,0.0,0.0,0.015,0.04
28,Chopra,20000,60409.957911707534,125739.1217984375,0.0,1.0,-65329.16388672997,0.0,0.0,0.0,0.015,0.04
29,Islampur,20000,6656.3984145460245,14721.601585454071,0.0,1.0,-8065.203170908046,0.0,0.0,0.0,0.015,0.04
30,Goalpokhar,20000,22374.87405012578,39012.12594987407,0.0,1.0,-16637.251899748288,0.0,0.0,0.0,0.015,0.04
31,Chakulia,20000,21917.514299016915,36078.25493175236,0.0009,0.9991,-14160.740632735444,0.0,0.0,0.0,0.015,0.04
32,Karandighi,20000,64278.73953945756,100948.26046054235,0.0,1.0,-36669.5209210848,0.0,0.0,0.0,0.015,0.04
